호선,역번호,역명,상하선,승강장위치,연단간격,승강장선형
1,102,하단,상선,다대포해수욕장행 8-1,좁음,(완화)곡선
1,102,하단,상선,다대포해수욕장행 8-2,좁음,(완화)곡선
1,102,하단,상선,다대포해수욕장행 8-3,좁음,(완화)곡선
1,102,하단,하선,노포행 1-1,좁음,(완화)곡선
1,102,하단,하선,노포행 1-2,좁음,(완화)곡선
1,102,하단,하선,노포행 1-3,좁음,(완화)곡선
1,102,하단,하선,노포행 2-1,좁음,(완화)곡선
1,102,하단,하선,노포행 2-2,좁음,(완화)곡선
1,102,하단,하선,노포행 2-3,좁음,(완화)곡선
1,102,하단,하선,노포행 3-1,좁음,(완화)곡선
1,102,하단,하선,노포행 3-2,좁음,(완화)곡선
1,102,하단,하선,노포행 3-3,좁음,(완화)곡선
1,102,하단,하선,노포행 4-1,좁음,(완화)곡선
1,102,하단,하선,노포행 4-2,좁음,(완화)곡선
1,102,하단,하선,노포행 4-3,좁음,(완화)곡선
1,102,하단,하선,노포행 5-1,좁음,(완화)곡선
1,102,하단,하선,노포행 5-2,좁음,(완화)곡선
1,102,하단,하선,노포행 5-3,좁음,(완화)곡선
1,102,하단,하선,노포행 6-1,좁음,(완화)곡선
1,102,하단,하선,노포행 6-2,좁음,(완화)곡선
1,102,하단,하선,노포행 6-3,좁음,(완화)곡선
1,102,하단,하선,노포행 7-1,좁음,(완화)곡선
1,102,하단,하선,노포행 7-2,좁음,(완화)곡선
1,102,하단,하선,노포행 7-3,좁음,(완화)곡선
1,102,하단,하선,노포행 8-1,좁음,(완화)곡선
1,102,하단,하선,노포행 8-2,좁음,(완화)곡선
1,102,하단,하선,노포행 8-3,좁음,(완화)곡선
1,103,당리,상선,다대포해수욕장행 1-1,좁음,직선
1,103,당리,상선,다대포해수욕장행 1-2,좁음,직선
1,103,당리,상선,다대포해수욕장행 1-3,좁음,직선
1,103,당리,상선,다대포해수욕장행 2-1,좁음,직선
1,103,당리,상선,다대포해수욕장행 2-2,좁음,직선
1,103,당리,상선,다대포해수욕장행 2-3,좁음,직선
1,103,당리,상선,다대포해수욕장행 3-1,좁음,직선
1,103,당리,상선,다대포해수욕장행 3-2,좁음,직선
1,103,당리,상선,다대포해수욕장행 3-3,좁음,직선
1,103,당리,상선,다대포해수욕장행 4-1,좁음,직선
1,103,당리,상선,다대포해수욕장행 4-2,좁음,직선
1,103,당리,상선,다대포해수욕장행 4-3,좁음,직선
1,103,당리,상선,다대포해수욕장행 5-1,좁음,직선
1,103,당리,상선,다대포해수욕장행 5-2,좁음,직선
1,103,당리,상선,다대포해수욕장행 5-3,좁음,직선
1,103,당리,상선,다대포해수욕장행 6-1,좁음,직선
1,103,당리,상선,다대포해수욕장행 6-2,좁음,직선
1,103,당리,상선,다대포해수욕장행 6-3,좁음,직선
1,103,당리,상선,다대포해수욕장행 7-1,좁음,직선
1,103,당리,상선,다대포해수욕장행 7-2,좁음,직선
1,103,당리,상선,다대포해수욕장행 7-3,좁음,직선
1,103,당리,상선,다대포해수욕장행 8-1,좁음,직선
1,103,당리,상선,다대포해수욕장행 8-2,좁음,직선
1,103,당리,상선,다대포해수욕장행 8-3,좁음,직선
1,103,당리,하선,노포행 1-1,좁음,직선
1,103,당리,하선,노포행 1-2,좁음,직선
1,103,당리,하선,노포행 1-3,좁음,직선
1,103,당리,하선,노포행 2-1,좁음,직선
1,103,당리,하선,노포행 2-2,좁음,직선
1,103,당리,하선,노포행 2-3,좁음,직선
1,103,당리,하선,노포행 3-1,좁음,직선
1,103,당리,하선,노포행 3-2,좁음,직선
1,103,당리,하선,노포행 3-3,좁음,직선
1,103,당리,하선,노포행 4-1,좁음,직선
1,103,당리,하선,노포행 4-2,좁음,직선
1,103,당리,하선,노포행 4-3,좁음,직선
1,103,당리,하선,노포행 5-1,좁음,직선
1,103,당리,하선,노포행 5-2,좁음,직선
1,103,당리,하선,노포행 5-3,좁음,직선
1,103,당리,하선,노포행 6-1,좁음,직선
1,103,당리,하선,노포행 6-2,좁음,직선
1,103,당리,하선,노포행 6-3,좁음,직선
1,103,당리,하선,노포행 7-1,좁음,직선
1,103,당리,하선,노포행 7-2,좁음,직선
1,103,당리,하선,노포행 7-3,좁음,직선
1,103,당리,하선,노포행 8-1,좁음,직선
1,103,당리,하선,노포행 8-2,좁음,직선
1,103,당리,하선,노포행 8-3,좁음,직선
1,104,사하,상선,다대포해수욕장행 1-1,좁음,직선
1,104,사하,상선,다대포해수욕장행 1-2,좁음,직선
1,104,사하,상선,다대포해수욕장행 1-3,좁음,직선
1,104,사하,상선,다대포해수욕장행 2-1,좁음,직선
1,104,사하,상선,다대포해수욕장행 2-2,좁음,직선
1,104,사하,상선,다대포해수욕장행 2-3,좁음,직선
1,104,사하,상선,다대포해수욕장행 3-1,좁음,직선
1,104,사하,상선,다대포해수욕장행 3-2,좁음,직선
1,104,사하,상선,다대포해수욕장행 3-3,좁음,직선
1,104,사하,상선,다대포해수욕장행 4-1,좁음,직선
1,104,사하,상선,다대포해수욕장행 4-2,좁음,직선
1,104,사하,상선,다대포해수욕장행 4-3,좁음,직선
1,104,사하,상선,다대포해수욕장행 5-1,좁음,직선
1,104,사하,상선,다대포해수욕장행 5-2,좁음,직선
1,104,사하,상선,다대포해수욕장행 5-3,좁음,직선
